match_id	home_total_shots	home_shots_off_target	home_shots_saved	home_corners	home_free_kicks	home_offsides	home_fouls	away_total_shots	away_shots_off_target	away_shots_saved	away_corners	away_free_kicks	away_offsides	away_fouls	home_yellow_cards	home_red_cards	away_yellow_cards	away_red_cards
2872290	2.0	6.0	3.0	6.0	13.0	12.0	0.0	6.0	3.0	2.0	4.0	12.0	13.0	0.0	3.0	0.0	2.0	0.0
2872286	5.0	10.0	2.0	7.0	11.0	13.0	1.0	2.0	4.0	4.0	5.0	14.0	9.0	2.0	2.0	0.0	1.0	0.0
2872287	3.0	3.0	6.0	8.0	13.0	14.0	2.0	6.0	0.0	3.0	2.0	16.0	11.0	2.0	4.0	0.0	2.0	0.0
2872285	2.0	2.0	3.0	2.0	12.0	5.0	2.0	7.0	12.0	2.0	3.0	7.0	8.0	4.0	1.0	0.0	1.0	0.0
2872288	9.0	6.0	2.0	8.0	18.0	8.0	3.0	2.0	2.0	7.0	4.0	11.0	16.0	2.0	1.0	0.0	3.0	0.0
2872293	4.0	5.0	3.0	8.0	18.0	11.0	4.0	8.0	3.0	3.0	7.0	15.0	14.0	4.0	2.0	1.0	2.0	0.0
2872292	1.0	8.0	4.0	7.0	14.0	11.0	1.0	7.0	8.0	1.0	9.0	12.0	13.0	1.0	2.0	0.0	1.0	0.0
2872291	11.0	6.0	1.0	5.0	21.0	12.0	4.0	2.0	4.0	6.0	1.0	16.0	19.0	2.0	2.0	0.0	4.0	0.0
2872294	5.0	4.0	1.0	6.0	7.0	13.0	1.0	3.0	2.0	4.0	3.0	14.0	6.0	1.0	1.0	0.0	3.0	0.0
2872289	6.0	4.0	2.0	6.0	10.0	11.0	1.0	3.0	4.0	3.0	3.0	12.0	10.0	0.0	2.0	0.0	3.0	0.0
2872295	5.0	3.0	6.0	7.0	12.0	9.0	3.0	9.0	5.0	2.0	8.0	12.0	11.0	1.0	1.0	0.0	0.0	0.0
2872304	0.0	2.0	5.0	2.0	8.0	8.0	2.0	5.0	7.0	0.0	7.0	10.0	4.0	4.0	3.0	0.0	0.0	0.0
2872296	3.0	8.0	2.0	6.0	9.0	7.0	7.0	2.0	3.0	2.0	4.0	14.0	9.0	0.0	0.0	0.0	0.0	0.0
2872300	6.0	3.0	1.0	9.0	11.0	16.0	3.0	2.0	3.0	5.0	1.0	19.0	8.0	3.0	2.0	0.0	1.0	0.0
2872299	5.0	5.0	0.0	4.0	9.0	9.0	4.0	0.0	2.0	1.0	6.0	13.0	7.0	2.0	0.0	0.0	1.0	0.0
2872301	5.0	2.0	6.0	1.0	10.0	9.0	0.0	7.0	5.0	2.0	11.0	9.0	8.0	2.0	1.0	0.0	0.0	0.0
