match_id	home_total_shots	home_shots_saved	home_corners	home_free_kicks	home_offsides	home_fouls	away_total_shots	away_shots_saved	away_corners	away_free_kicks	away_offsides	away_fouls	home_cards	away_cards
3050456	6	3	7	6	11	1	4	4	8	12	6	0	1	2
3050448	5	3	6	7	11	3	4	2	3	14	7	0	2	2
3050454	5	1	1	13	14	4	2	3	5	18	12	1	5	1
3050450	3	3	3	14	13	2	3	3	7	15	10	4	1	2
3050460	3	1	8	18	8	1	3	2	0	9	17	1	1	5
3050458	7	2	7	9	7	2	2	5	5	9	8	1	2	1
3050462	8	2	6	14	9	1	3	5	5	10	13	1	0	2
3050465	7	1	8	10	14	2	3	4	2	16	10	0	3	1
3050466	4	4	1	10	16	2	5	2	10	18	9	1	4	2
3050461	3	2	6	8	13	1	5	3	5	14	8	0	3	1
3050464	8	0	9	8	11	4	1	5	1	15	7	1	1	1
3050459	6	0	13	16	8	1	1	5	0	9	14	2	1	4
3050475	3	2	6	13	9	0	4	1	6	9	12	1	3	2
3050457	3	4	5	17	12	5	4	0	2	17	16	1	2	2
3050477	2	2	9	11	9	4	4	1	3	13	10	1	1	3
3050463	5	0	7	15	4	2	2	1	3	6	8	7	2	0
3050483	5	2	5	11	6	2	5	1	8	8	10	1	0	2
3050481	10	1	8	8	7	0	1	8	2	7	4	4	1	0
3050478	8	5	3	12	15	1	5	6	4	16	9	3	1	2
3050479	2	4	1	8	8	4	6	1	10	12	7	1	2	1
3050482	4	2	3	18	10	4	3	3	4	14	13	5	5	2
3050476	2	1	5	13	13	2	3	2	4	15	13	0	0	1
3050490	1	5	0	10	5	4	7	2	11	9	9	1	2	0
3050480	1	3	1	12	10	0	5	1	1	10	10	2	2	2
3050484	4	1	5	12	12	1	2	1	5	13	9	3	2	3
3050486	1	1	6	10	9	5	2	1	5	14	10	0	1	2
3050487	1	2	1	13	11	1	1	0	5	12	11	2	1	1
3050489	5	5	5	10	11	6	5	3	5	17	7	3	0	0
3050493	5	7	3	12	14	4	8	3	5	18	9	3	1	2
3050491	4	2	6	10	5	3	2	2	1	8	9	1	0	2
3050494	1	7	4	17	7	2	9	1	9	9	14	3	1	1
3050485	4	2	6	12	10	2	2	1	2	12	10	2	2	0
3050488	3	1	2	15	7	2	3	2	7	9	14	1	2	3
3050503	7	5	6	4	12	2	6	3	4	14	4	0	3	2
3050492	4	1	10	10	5	2	2	3	3	7	8	2	0	1
3050504	2	3	3	16	5	4	4	1	5	9	11	5	1	3
3050500	5	0	9	18	11	2	1	5	4	13	14	4	1	2
3050499	11	1	17	8	4	1	1	9	4	5	7	1	0	3
3050501	1	2	7	10	7	3	5	0	5	10	7	3	2	4
3050498	4	5	8	13	10	2	9	3	5	12	10	3	3	0
3050496	7	2	7	9	9	3	2	5	4	12	8	1	2	1
3050495	2	1	3	24	11	2	3	2	6	13	19	5	2	3
